NetCDF_R_FilesReceived,NetCDF_BR_FilesReceived,BUFRMessagesGenerated,24HoursPrecedingDate

24,0,24,06/11/2021_09:00
25,0,25,07/11/2021_09:00
27,0,27,08/11/2021_09:00
27,0,27,09/11/2021_09:00
26,0,26,10/11/2021_09:00
23,0,23,11/11/2021_09:00
54,0,44,12/11/2021_09:00
24,0,21,13/11/2021_09:00
19,0,17,14/11/2021_09:00
17,0,14,15/11/2021_09:00
29,0,20,16/11/2021_09:00
,169,17/11/2021_09:00
,30,18/11/2021_09:00
19,0,19,19/11/2021_09:00
22,0,22,20/11/2021_09:00
29,0,29,21/11/2021_09:00
27,0,27,22/11/2021_09:00
30,1,30,23/11/2021_09:00
